"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "Markdown", "JSON with Comments", "Properties", "Batch", "Groovy", "XML", "JavaScript", "MS SQL", "Dotenv", "Ruby", "C++", "Swift", "comment", "blank", "total"
"/Users/ibrahimi/Overthought/src/features/cases/types.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"/Users/ibrahimi/Overthought/src/features/deep-read/deepReadService.test.ts", "TypeScript", 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 254
"/Users/ibrahimi/Overthought/src/features/deep-read/deepReadService.ts", "TypeScript", 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26, 154
"/Users/ibrahimi/Overthought/src/features/migration/MigrationPrompt.tsx", "TypeScript JSX", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 70
"/Users/ibrahimi/Overthought/src/features/migration/migrationService.test.ts", "TypeScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 110
"/Users/ibrahimi/Overthought/src/features/migration/migrationService.ts", "TypeScript", 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 179
"/Users/ibrahimi/Overthought/src/features/premium/featureFlags.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/ibrahimi/Overthought/src/features/premium/premiumService.test.ts", "TypeScript", 406, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 460
"/Users/ibrahimi/Overthought/src/features/premium/premiumService.ts", "TypeScript", 446, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 532
"/Users/ibrahimi/Overthought/src/features/premium/revenueCatClient.test.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 26
"/Users/ibrahimi/Overthought/src/features/premium/revenueCatClient.ts", "TypeScript", 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27, 180
"/Users/ibrahimi/Overthought/src/features/profile/profileRepository.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 52
"/Users/ibrahimi/Overthought/src/features/share/shareTypes.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/ibrahimi/Overthought/src/features/verdict-engine/README.md", "Markdown", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 62
"/Users/ibrahimi/Overthought/src/features/verdict-engine/analyzeCase.ts", "TypeScript", 257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 307
"/Users/ibrahimi/Overthought/src/features/verdict-engine/config.ts", "TypeScript", 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 152
"/Users/ibrahimi/Overthought/src/features/verdict-engine/config/verdict-config.v1.json", "JSON", 0, 0, 2091, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2092
"/Users/ibrahimi/Overthought/src/features/verdict-engine/copy.ts", "TypeScript", 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 158
"/Users/ibrahimi/Overthought/src/features/verdict-engine/exampleUsage.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36
"/Users/ibrahimi/Overthought/src/features/verdict-engine/index.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/ibrahimi/Overthought/src/features/verdict-engine/normalize.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 38
"/Users/ibrahimi/Overthought/src/features/verdict-engine/patterns.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 73
"/Users/ibrahimi/Overthought/src/features/verdict-engine/types.ts", "TypeScript", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 118
"/Users/ibrahimi/Overthought/src/features/verdict-engine/verdictEngine.test.ts", "TypeScript", 706, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 718
"/Users/ibrahimi/Overthought/src/lib/analytics/analyticsService.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"/Users/ibrahimi/Overthought/src/lib/env.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/Users/ibrahimi/Overthought/src/lib/supabase/client.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/Users/ibrahimi/Overthought/src/shared/theme/tokens.ts", "TypeScript", 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 128
"/Users/ibrahimi/Overthought/src/shared/ui/Button.tsx", "TypeScript JSX", 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 130
"/Users/ibrahimi/Overthought/src/shared/ui/Card.tsx", "TypeScript JSX", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"/Users/ibrahimi/Overthought/src/shared/ui/EmptyState.tsx", "TypeScript JSX", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 67
"/Users/ibrahimi/Overthought/src/shared/ui/Header.tsx", "TypeScript JSX", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 70
"/Users/ibrahimi/Overthought/src/shared/ui/Screen.tsx", "TypeScript JSX", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 76
"/Users/ibrahimi/Overthought/src/shared/ui/Text.tsx", "TypeScript JSX", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 85
"/Users/ibrahimi/Overthought/src/shared/utils/date.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/ibrahimi/Overthought/src/shared/utils/id.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/ibrahimi/Overthought/src/shared/utils/verdict.ts", "TypeScript", 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 128
"/Users/ibrahimi/Overthought/src/storage/mmkv.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/ibrahimi/Overthought/src/store/authStore.ts", "TypeScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 56
"/Users/ibrahimi/Overthought/src/store/guestStore.ts", "TypeScript", 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 211
"/Users/ibrahimi/Overthought/src/store/premiumStore.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"/Users/ibrahimi/Overthought/src/types/shared.ts", "TypeScript", 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27, 257
"/Users/ibrahimi/Overthought/supabase/.temp/linked-project.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/ibrahimi/Overthought/supabase/functions/_shared/cors.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/ibrahimi/Overthought/supabase/functions/deep-read/index.ts", "TypeScript", 609, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 98, 710
"/Users/ibrahimi/Overthought/supabase/functions/delete-account/index.ts", "TypeScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 73
"/Users/ibrahimi/Overthought/supabase/functions/sync-premium-state/index.ts", "TypeScript", 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 206
"/Users/ibrahimi/Overthought/supabase/migrations/0001_initial_schema.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 260, 0, 0, 0, 0, 29, 37, 326
"/Users/ibrahimi/Overthought/supabase/migrations/0002_guest_migration_idempotency.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 1, 5
"/Users/ibrahimi/Overthought/supabase/migrations/0003_deep_read.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 160, 0, 0, 0, 0, 10, 17, 187
"/Users/ibrahimi/Overthought/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"Total", "-", 6271, 3521, 15013, 2147, 18, 20, 41, 145, 118, 43, 423, 1, 50, 0, 54, 300, 2019, 30184
